PI,Sprint,Dates,Team,Project,Committed,Delivered,Delpct
19-4,2019-24,01-11-2019,FiniteLoop,Catalyst Portal,63,29,46
19-4,2019-24,01-11-2019,Gladiators,Catalyst Communication,24,19,79
19-4,2019-24,01-11-2019,Performix,Console,42,21,50
19-4,2019-24,01-11-2019,Vega,Course player (HTML5),0,0,0
19-4,2019-24,01-11-2019,DataTycoons,Analytics,48,48,100
19-4,2019-24,01-11-2019,Mavericks,LCEC,16,16,100
19-4,2019-24,01-11-2019,Titans,Certification Manager,45,37,82
19-4,2019-24,01-11-2019,Avengers,Campaign Manager,16,16,100
19-4,2019-23,01-10-2019,Polaris,CAT Angular Migration,52,52,100
19-4,2019-23,01-10-2019,FiniteLoop,Catalyst Portal,61,61,100
19-4,2019-23,01-10-2019,Gladiators,Catalyst Communication,20,12,60
19-4,2019-23,01-10-2019,Performix,Console,29,29,100
19-4,2019-23,01-10-2019,Vega,Course player (HTML5),0,0,0
19-4,2019-23,01-10-2019,DataTycoons,Analytics,50,34,68
19-4,2019-23,01-10-2019,Mavericks,LCEC,20,20,100
19-4,2019-23,01-10-2019,Titans,Certification Manager,41,41,100
19-4,2019-23,01-10-2019,Avengers,Campaign Manager,16,16,100
19-4,2019-22,01-09-2019,Polaris,CAT Angular Migration,31,31,100
19-4,2019-22,01-09-2019,FiniteLoop,Catalyst Portal,45,32,71
19-4,2019-22,01-09-2019,Gladiators,Catalyst Communication,20,20,100
19-4,2019-22,01-09-2019,Performix,Console,41,41,100
19-4,2019-22,01-09-2019,Vega,Course player (HTML5),11,11,100
19-4,2019-22,01-09-2019,DataTycoons,Analytics,34,34,100
19-4,2019-22,01-09-2019,Mavericks,LCEC,12,12,100
19-4,2019-22,01-09-2019,Titans,Certification Manager,26,18,69
19-4,2019-22,01-09-2019,Avengers,Campaign Manager,13,13,100
19-4,2019-21,01-08-2019,Polaris,CAT Angular Migration,47,47,100
19-4,2019-21,01-08-2019,FiniteLoop,Catalyst Portal,50,34,68
19-4,2019-21,01-08-2019,Gladiators,Catalyst Communication,24,16,67
19-4,2019-21,01-08-2019,Performix,Console,47,34,72
19-4,2019-21,01-08-2019,Vega,Course player (HTML5),19,19,100
19-4,2019-21,01-08-2019,DataTycoons,Analytics,37,21,57
19-4,2019-21,01-08-2019,Mavericks,LCEC,19,19,100
19-4,2019-21,01-08-2019,Titans,Certification Manager,41,41,100
19-4,2019-21,01-08-2019,Avengers,Campaign Manager,16,16,100
19-4,2019-20,01-07-2019,Polaris,CAT Angular Migration,43,43,100
19-4,2019-20,01-07-2019,FiniteLoop,Catalyst Portal,62,41,66
19-4,2019-20,01-07-2019,Gladiators,Catalyst Communication,19,11,58
19-4,2019-20,01-07-2019,Performix,Console,44,44,100
19-4,2019-20,01-07-2019,Vega,Course player (HTML5),15,15,100
19-4,2019-20,01-07-2019,DataTycoons,Analytics,29,13,45
19-4,2019-20,01-07-2019,Mavericks,LCEC,16,16,100
19-4,2019-20,01-07-2019,Titans,Certification Manager,42,29,69
19-4,2019-20,01-07-2019,Avengers,Campaign Manager,17,17,100
