PI,Sprint,Team,Project,Committed,Delivered,Delpct
20-1,2020-02,FiniteLoop,Catalyst Portal,33,33,100
20-1,2020-02,Gladiators,Catalyst Communication,18,16,89
20-1,2020-02,Performix,Console,53,45,85
20-1,2020-02,Vega,Course player (HTML5),28,28,100
20-1,2020-02,DataTycoons,Analytics,45,45,100
20-1,2020-02,Mavericks,LCEC,20,20,100
20-1,2020-02,Titans,Certification Manager,47,34,72
20-1,2020-02,Avengers,Campaign Manager,21,13,62
20-1,2020-01,Polaris,CAT Angular Migration,54,41,76
20-1,2020-01,FiniteLoop,Catalyst Portal,75,62,83
20-1,2020-01,Gladiators,Catalyst Communication,16,16,100
20-1,2020-01,Performix,Console,58,18,31
20-1,2020-01,Vega,Course player (HTML5),25,25,100
20-1,2020-01,DataTycoons,Analytics,53,40,75
20-1,2020-01,Mavericks,LCEC,11,8,73
20-1,2020-01,Titans,Certification Manager,45,37,82
20-1,2020-01,Avengers,Campaign Manager,26,21,81
19-4,2019-24,Polaris,CAT Angular Migration,44,39,89
19-4,2019-24,FiniteLoop,Catalyst Portal,63,29,46
19-4,2019-24,Gladiators,Catalyst Communication,24,19,79
19-4,2019-24,Performix,Console,42,21,50
19-4,2019-24,Vega,Course player (HTML5),0,0,0
19-4,2019-24,DataTycoons,Analytics,48,48,100
19-4,2019-24,Mavericks,LCEC,16,16,100
19-4,2019-24,Titans,Certification Manager,45,37,82
19-4,2019-24,Avengers,Campaign Manager,16,16,100
19-4,2019-23,Polaris,CAT Angular Migration,52,52,100
19-4,2019-23,FiniteLoop,Catalyst Portal,61,61,100
19-4,2019-23,Gladiators,Catalyst Communication,20,12,60
19-4,2019-23,Performix,Console,29,29,100
19-4,2019-23,Vega,Course player (HTML5),0,0,0
19-4,2019-23,DataTycoons,Analytics,50,34,68
19-4,2019-23,Mavericks,LCEC,20,20,100
19-4,2019-23,Titans,Certification Manager,41,41,100
19-4,2019-23,Avengers,Campaign Manager,16,16,100
19-4,2019-22,Polaris,CAT Angular Migration,31,31,100
19-4,2019-22,FiniteLoop,Catalyst Portal,45,32,71
19-4,2019-22,Gladiators,Catalyst Communication,20,20,100
19-4,2019-22,Performix,Console,41,41,100
19-4,2019-22,Vega,Course player (HTML5),11,11,100
19-4,2019-22,DataTycoons,Analytics,34,34,100
19-4,2019-22,Mavericks,LCEC,12,12,100
19-4,2019-22,Titans,Certification Manager,26,18,69
19-4,2019-22,Avengers,Campaign Manager,13,13,100
19-4,2019-21,Polaris,CAT Angular Migration,47,47,100
19-4,2019-21,FiniteLoop,Catalyst Portal,50,34,68
19-4,2019-21,Gladiators,Catalyst Communication,24,16,67
19-4,2019-21,Performix,Console,47,34,72
19-4,2019-21,Vega,Course player (HTML5),19,19,100
19-4,2019-21,DataTycoons,Analytics,37,21,57
19-4,2019-21,Mavericks,LCEC,19,19,100
19-4,2019-21,Titans,Certification Manager,41,41,100
19-4,2019-21,Avengers,Campaign Manager,16,16,100
19-4,2019-20,Polaris,CAT Angular Migration,43,43,100
19-4,2019-20,FiniteLoop,Catalyst Portal,62,41,66
19-4,2019-20,Gladiators,Catalyst Communication,19,11,58
19-4,2019-20,Performix,Console,44,44,100
19-4,2019-20,Vega,Course player (HTML5),15,15,100
19-4,2019-20,DataTycoons,Analytics,29,13,45
19-4,2019-20,Mavericks,LCEC,16,16,100
19-4,2019-20,Titans,Certification Manager,42,29,69
19-4,2019-20,Avengers,Campaign Manager,17,17,100
