PI,Sprint,Team,Project,Committed,Delivered,Delpct
21-1,2021-01,FiniteLoop,Catalyst Portal,46,46,100
21-1,2021-01,Performix,Console,50,34,68
21-1,2021-01,Vega,Course player (HTML5),27,27,100
21-1,2021-01,DataTycoons,Analytics Dashboard,12,12,100
21-1,2021-01,Mavericks,LCEC,21,21,100
21-1,2021-01,Titans,Certification Manager,39,39,100
21-1,2021-01,Avengers,Campaign Manager ,21,21,100
21-1,2021-01,NightRiders,Catalyst Connect,33,33,100
21-1,2021-01,Sky,CG - Catalyst integration,19,11,58
20-4,2020-23,Polaris,CAT Angular Migration,36,36,100
20-4,2020-23,FiniteLoop,Catalyst Portal,43,43,100
20-4,2020-23,Performix,Console,23,23,100
20-4,2020-23,Vega,Course player (HTML5) - On Kanban project for Angular Upgrade,0,0,0
20-4,2020-23,DataTycoons,Analytics,16,16,100
20-4,2020-23,Mavericks,LCEC,18,10,56
20-4,2020-23,Titans,Certification Manager,29,29,100
20-4,2020-23,Avengers,Campaign Manager,21,21,100
20-4,2020-23,NightRiders,Catalyst Connect,34,34,100
20-4,2020-22,Polaris,CAT Angular Migration,47,47,100
20-4,2020-22,FiniteLoop,Catalyst Portal,40,32,80
20-4,2020-22,Performix,Console,36,36,100
20-4,2020-22,Vega,Course player (HTML5) - On Kanban project for Angular Upgrade,0,0,0
20-4,2020-22,DataTycoons,Analytics,14,14,100
20-4,2020-22,Mavericks,LCEC,21,13,62
20-4,2020-22,Titans,Certification Manager,28,28,100
20-4,2020-22,Avengers,Campaign Manager,16,16,100
20-4,2020-22,NightRiders,Catalyst Connect,35,35,100
20-4,2020-21,Polaris,CAT Angular Migration,50,50,100
20-4,2020-21,FiniteLoop,Catalyst Portal,44,44,100
20-4,2020-21,Performix,Console,47,47,100
20-4,2020-21,Vega,Course player (HTML5) - On Kanban project for Angular Upgrade,0,0,0
20-4,2020-21,DataTycoons,Analytics,18,18,100
20-4,2020-21,Mavericks,LCEC,22,14,64
20-4,2020-21,Titans,Certification Manager,32,32,100
20-4,2020-21,Avengers,Campaign Manager,19,19,100
20-4,2020-21,NightRiders,Catalyst Connect,34,26,76
20-4,2020-20,Polaris,CAT Angular Migration,49,49,100
20-4,2020-20,FiniteLoop,Catalyst Portal,50,50,100
20-4,2020-20,Performix,Console,40,32,80
20-4,2020-20,Vega,Course player (HTML5) - On Kanban project for Angular Upgrade,0,0,0
20-4,2020-20,DataTycoons,Analytics,16,16,100
20-4,2020-20,Mavericks,LCEC,11,11,100
20-4,2020-20,Titans,Certification Manager,29,29,100
20-4,2020-20,Avengers,Campaign Manager,16,16,100
